Branch:QSP-BasavanagudiNo,Course,Subject,Amount,Amount(Oneshot),Edit,Delete,Branch,,,
1,(ampus,ManualTesting;SeleniumTool;CoreJava;Database;AndroidTesting,22900,21900,edit,delete,QSP-BasavanagudiRajajinagarOAR(QSP)JSpidersRajajinagarVadapalaniQSPChromepetJSPNoida-QSPIRCVillage(QSP)Basavanagudi(J)OAR(JSP)Hebbal(JSP)Hebbal(QSP)Pune(QSP)Pune(JSP)Mysore(JSP)Mysore(QSP)Noida-JSPS-Btm(Jsp)S-Btm(Qsp)ChromepetQSPTelangana(Jsp)Telangana(Qsp)VadapalaniJSPAndheri(QSP)Andheri(JSP)IRCVillage(JSP)G-Telagana(QSP)G-Telagana(JSP)1Hadapasar(JSP)1Hadapasar(QSP)Ut-Chandigarh(QSP)Ut-Chandigarh(JSP)Wakad(JSP)Wakad(QSP)2Thane(QSP)2Thane(JSP)L-Bhopal(JSP)L-Bhopal(QSP),,,
2,)apgeminitraining,Dotnet.Cap;JavaScF.stack.cap;Automation.Cap;JavaFullstack.Cap;Java.JEE.Cap,0,0,edit,delete,QSP-BasavanagudiRajajinagarOAR(QSP)JSpidersRajajinagarVadapalaniQSPChromepetJSPNoida-QSPIRCVillage(QSP)Basavanagudi(J)OAR(JSP)Hebbal(JSP)Hebbal(QSP)Pune(QSP)Pune(JSP)Mysore(JSP)Mysore(QSP)Noida-JSPS-Btm(Jsp)S-Btm(Qsp)ChromepetQSPTelangana(Jsp)Telangana(Qsp)VadapalaniJSPAndheri(QSP)Andheri(JSP)IRCVillage(JSP)G-Telagana(QSP)G-Telagana(JSP)1Hadapasar(JSP)1Hadapasar(QSP)Ut-Chandigarh(QSP)Ut-Chandigarh(JSP)Wakad(JSP)Wakad(QSP)2Thane(QSP)2Thane(JSP)L-Bhopal(JSP)L-Bhopal(QSP),,,
3,*C/DS,*C/DS,3000,1500,edit,delete,QSP-BasavanagudiRajajinagarOAR(QSP)JSpidersRajajinagarVadapalaniQSPChromepetJSPNoida-QSPIRCVillage(QSP)Basavanagudi(J)OAR(JSP)Hebbal(JSP)Hebbal(QSP)Pune(QSP)Pune(JSP)Mysore(JSP)Mysore(QSP)Noida-JSPS-Btm(Jsp)S-Btm(Qsp)ChromepetQSPTelangana(Jsp)Telangana(Qsp)VadapalaniJSPAndheri(QSP)Andheri(JSP)IRCVillage(JSP)G-Telagana(QSP)G-Telagana(JSP)1Hadapasar(JSP)1Hadapasar(QSP)Ut-Chandigarh(QSP)Ut-Chandigarh(JSP)Wakad(JSP)Wakad(QSP)2Thane(QSP)2Thane(JSP)L-Bhopal(JSP)L-Bhopal(QSP),,,
4,++C,C,++C,C,4100,4100,edit,delete,QSP-BasavanagudiRajajinagarOAR(QSP)JSpidersRajajinagarVadapalaniQSPChromepetJSPNoida-QSPIRCVillage(QSP)Basavanagudi(J)OAR(JSP)Hebbal(JSP)Hebbal(QSP)Pune(QSP)Pune(JSP)Mysore(JSP)Mysore(QSP)Noida-JSPS-Btm(Jsp)S-Btm(Qsp)ChromepetQSPTelangana(Jsp)Telangana(Qsp)VadapalaniJSPAndheri(QSP)Andheri(JSP)IRCVillage(JSP)G-Telagana(QSP)G-Telagana(JSP)1Hadapasar(JSP)1Hadapasar(QSP)Ut-Chandigarh(QSP)Ut-Chandigarh(JSP)Wakad(JSP)Wakad(QSP)2Thane(QSP)2Thane(JSP)L-Bhopal(JSP)L-Bhopal(QSP),
5,4-PythonFullStack,Database;WebTechnologies;Ython;FlaskPython;Django,28950,27950,edit,delete,QSP-BasavanagudiRajajinagarOAR(QSP)JSpidersRajajinagarVadapalaniQSPChromepetJSPNoida-QSPIRCVillage(QSP)Basavanagudi(J)OAR(JSP)Hebbal(JSP)Hebbal(QSP)Pune(QSP)Pune(JSP)Mysore(JSP)Mysore(QSP)Noida-JSPS-Btm(Jsp)S-Btm(Qsp)ChromepetQSPTelangana(Jsp)Telangana(Qsp)VadapalaniJSPAndheri(QSP)Andheri(JSP)IRCVillage(JSP)G-Telagana(QSP)G-Telagana(JSP)1Hadapasar(JSP)1Hadapasar(QSP)Ut-Chandigarh(QSP)Ut-Chandigarh(JSP)Wakad(JSP)Wakad(QSP)2Thane(QSP)2Thane(JSP)L-Bhopal(JSP)L-Bhopal(QSP),,,
6,AdvanceManualTesting,ManualTestingAdvance,10000,10000,edit,delete,QSP-BasavanagudiRajajinagarOAR(QSP)JSpidersRajajinagarVadapalaniQSPChromepetJSPNoida-QSPIRCVillage(QSP)Basavanagudi(J)OAR(JSP)Hebbal(JSP)Hebbal(QSP)Pune(QSP)Pune(JSP)Mysore(JSP)Mysore(QSP)Noida-JSPS-Btm(Jsp)S-Btm(Qsp)ChromepetQSPTelangana(Jsp)Telangana(Qsp)VadapalaniJSPAndheri(QSP)Andheri(JSP)IRCVillage(JSP)G-Telagana(QSP)G-Telagana(JSP)1Hadapasar(JSP)1Hadapasar(QSP)Ut-Chandigarh(QSP)Ut-Chandigarh(JSP)Wakad(JSP)Wakad(QSP)2Thane(QSP)2Thane(JSP)L-Bhopal(JSP)L-Bhopal(QSP),,,
7,AdvanceQTP,QTPAdvance,15000,15000,edit,delete,QSP-BasavanagudiRajajinagarOAR(QSP)JSpidersRajajinagarVadapalaniQSPChromepetJSPNoida-QSPIRCVillage(QSP)Basavanagudi(J)OAR(JSP)Hebbal(JSP)Hebbal(QSP)Pune(QSP)Pune(JSP)Mysore(JSP)Mysore(QSP)Noida-JSPS-Btm(Jsp)S-Btm(Qsp)ChromepetQSPTelangana(Jsp)Telangana(Qsp)VadapalaniJSPAndheri(QSP)Andheri(JSP)IRCVillage(JSP)G-Telagana(QSP)G-Telagana(JSP)1Hadapasar(JSP)1Hadapasar(QSP)Ut-Chandigarh(QSP)Ut-Chandigarh(JSP)Wakad(JSP)Wakad(QSP)2Thane(QSP)2Thane(JSP)L-Bhopal(JSP)L-Bhopal(QSP),,,
8,AdvanceSelenium,SeleniumAdvance;AdvanceJava,15000,15000,edit,delete,QSP-BasavanagudiRajajinagarOAR(QSP)JSpidersRajajinagarVadapalaniQSPChromepetJSPNoida-QSPIRCVillage(QSP)Basavanagudi(J)OAR(JSP)Hebbal(JSP)Hebbal(QSP)Pune(QSP)Pune(JSP)Mysore(JSP)Mysore(QSP)Noida-JSPS-Btm(Jsp)S-Btm(Qsp)ChromepetQSPTelangana(Jsp)Telangana(Qsp)VadapalaniJSPAndheri(QSP)Andheri(JSP)IRCVillage(JSP)G-Telagana(QSP)G-Telagana(JSP)1Hadapasar(JSP)1Hadapasar(QSP)Ut-Chandigarh(QSP)Ut-Chandigarh(JSP)Wakad(JSP)Wakad(QSP)2Thane(QSP)2Thane(JSP)L-Bhopal(JSP)L-Bhopal(QSP),,,
9,Android-Development,AndroidDevelopment,6100,6100,edit,delete,QSP-BasavanagudiRajajinagarOAR(QSP)JSpidersRajajinagarVadapalaniQSPChromepetJSPNoida-QSPIRCVillage(QSP)Basavanagudi(J)OAR(JSP)Hebbal(JSP)Hebbal(QSP)Pune(QSP)Pune(JSP)Mysore(JSP)Mysore(QSP)Noida-JSPS-Btm(Jsp)S-Btm(Qsp)ChromepetQSPTelangana(Jsp)Telangana(Qsp)VadapalaniJSPAndheri(QSP)Andheri(JSP)IRCVillage(JSP)G-Telagana(QSP)G-Telagana(JSP)1Hadapasar(JSP)1Hadapasar(QSP)Ut-Chandigarh(QSP)Ut-Chandigarh(JSP)Wakad(JSP)Wakad(QSP)2Thane(QSP)2Thane(JSP)L-Bhopal(JSP)L-Bhopal(QSP),,,
10,Aptitude,Aptitude,1850,1850,edit,delete,QSP-BasavanagudiRajajinagarOAR(QSP)JSpidersRajajinagarVadapalaniQSPChromepetJSPNoida-QSPIRCVillage(QSP)Basavanagudi(J)OAR(JSP)Hebbal(JSP)Hebbal(QSP)Pune(QSP)Pune(JSP)Mysore(JSP)Mysore(QSP)Noida-JSPS-Btm(Jsp)S-Btm(Qsp)ChromepetQSPTelangana(Jsp)Telangana(Qsp)VadapalaniJSPAndheri(QSP)Andheri(JSP)IRCVillage(JSP)G-Telagana(QSP)G-Telagana(JSP)1Hadapasar(JSP)1Hadapasar(QSP)Ut-Chandigarh(QSP)Ut-Chandigarh(JSP)Wakad(JSP)Wakad(QSP)2Thane(QSP)2Thane(JSP)L-Bhopal(JSP)L-Bhopal(QSP),,,
11,BigdataHadoop,CoreJava;BigdataHadoop,20000,20000,edit,delete,QSP-BasavanagudiRajajinagarOAR(QSP)JSpidersRajajinagarVadapalaniQSPChromepetJSPNoida-QSPIRCVillage(QSP)Basavanagudi(J)OAR(JSP)Hebbal(JSP)Hebbal(QSP)Pune(QSP)Pune(JSP)Mysore(JSP)Mysore(QSP)Noida-JSPS-Btm(Jsp)S-Btm(Qsp)ChromepetQSPTelangana(Jsp)Telangana(Qsp)VadapalaniJSPAndheri(QSP)Andheri(JSP)IRCVillage(JSP)G-Telagana(QSP)G-Telagana(JSP)1Hadapasar(JSP)1Hadapasar(QSP)Ut-Chandigarh(QSP)Ut-Chandigarh(JSP)Wakad(JSP)Wakad(QSP)2Thane(QSP)2Thane(JSP)L-Bhopal(JSP)L-Bhopal(QSP),,,
12,ClassicQTP,ManualTesting;QTP;Database;QualityCenter;AgileMethodology,23950,22950,edit,delete,QSP-BasavanagudiRajajinagarOAR(QSP)JSpidersRajajinagarVadapalaniQSPChromepetJSPNoida-QSPIRCVillage(QSP)Basavanagudi(J)OAR(JSP)Hebbal(JSP)Hebbal(QSP)Pune(QSP)Pune(JSP)Mysore(JSP)Mysore(QSP)Noida-JSPS-Btm(Jsp)S-Btm(Qsp)ChromepetQSPTelangana(Jsp)Telangana(Qsp)VadapalaniJSPAndheri(QSP)Andheri(JSP)IRCVillage(JSP)G-Telagana(QSP)G-Telagana(JSP)1Hadapasar(JSP)1Hadapasar(QSP)Ut-Chandigarh(QSP)Ut-Chandigarh(JSP)Wakad(JSP)Wakad(QSP)2Thane(QSP)2Thane(JSP)L-Bhopal(JSP)L-Bhopal(QSP),,,
13,ClassicSelenium,ManualTesting;SeleniumTool;CoreJava;Database;QualityCenter;AgileMethodology;Grooming,28950,27950,edit,delete,QSP-BasavanagudiRajajinagarOAR(QSP)JSpidersRajajinagarVadapalaniQSPChromepetJSPNoida-QSPIRCVillage(QSP)Basavanagudi(J)OAR(JSP)Hebbal(JSP)Hebbal(QSP)Pune(QSP)Pune(JSP)Mysore(JSP)Mysore(QSP)Noida-JSPS-Btm(Jsp)S-Btm(Qsp)ChromepetQSPTelangana(Jsp)Telangana(Qsp)VadapalaniJSPAndheri(QSP)Andheri(JSP)IRCVillage(JSP)G-Telagana(QSP)G-Telagana(JSP)1Hadapasar(JSP)1Hadapasar(QSP)Ut-Chandigarh(QSP)Ut-Chandigarh(JSP)Wakad(JSP)Wakad(QSP)2Thane(QSP)2Thane(JSP)L-Bhopal(JSP)L-Bhopal(QSP),,,
14,Cucumber,Cucumber,3400,3400,edit,delete,QSP-BasavanagudiRajajinagarOAR(QSP)JSpidersRajajinagarVadapalaniQSPChromepetJSPNoida-QSPIRCVillage(QSP)Basavanagudi(J)OAR(JSP)Hebbal(JSP)Hebbal(QSP)Pune(QSP)Pune(JSP)Mysore(JSP)Mysore(QSP)Noida-JSPS-Btm(Jsp)S-Btm(Qsp)ChromepetQSPTelangana(Jsp)Telangana(Qsp)VadapalaniJSPAndheri(QSP)Andheri(JSP)IRCVillage(JSP)G-Telagana(QSP)G-Telagana(JSP)1Hadapasar(JSP)1Hadapasar(QSP)Ut-Chandigarh(QSP)Ut-Chandigarh(JSP)Wakad(JSP)Wakad(QSP)2Thane(QSP)2Thane(JSP)L-Bhopal(JSP)L-Bhopal(QSP),,,
